provincia_inscripcion;canton_inscripcion;parroquia_inscripcion;anio_inscripcion;mes_inscripcion;dia_inscripcion;fecha_inscripcion;anio_sentencia_divorcio;mes_sentencia_divorcio;dia_sentencia_divorcio;fecha_sentencia_divorcio;anio_matrimonio;mes_matrimonio;dia_matrimonio;fecha_matrimonio;capitulaciones_bienes;duracion_matrimonio_anios;causa_divorcio;nacionalidad_conyuge1;pais_conyuge1;sexo_conyuge1;anio_nacimiento_conyuge1;mes_nacimiento_conyuge1;dia_nacimiento_conyuge1;fecha_nacimiento_conyuge1;edad_conyuge1;hijos_a_cargo_conyuge1;autoidentificacion_etnica_conyuge1;nivel_instruccion_conyuge1;sabe_leer_escribir_conyuge1;provincia_residencia_conyuge1;canton_residencia_conyuge1;parroquia_residencia_conyuge1;area_residencia_conyuge1;nacionalidad_conyuge2;pais_conyuge2;sexo_conyuge2;anio_nacimiento_conyuge2;mes_nacimiento_conyuge2;dia_nacimiento_conyuge2;fecha_nacimiento_conyuge2;edad_conyuge2;hijos_a_cargo_conyuge2;autoidentificacion_etnica_conyuge2;nivel_instruccion_conyuge2;sabe_leer_escribir_conyuge2;provincia_residencia_conyuge2;canton_residencia_conyuge2;parroquia_residencia_conyuge2;area_residencia_conyuge2
Chimborazo;Riobamba;Lizarzaburu;2020;Enero;1;2020/01/01;2019;Diciembre;2;2019/12/02;1997;Noviembre;15;1997/11/15;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1980;Noviembre;8;1980/11/08;39;0;Indigena;Primaria;Si;Chimborazo;Colta;Columbe;Rural;Ecuatoriano;Ecuador;Mujer;1981;Diciembre;17;1981/12/17;38;1;Indigena;Primaria;Si;Chimborazo;Colta;Columbe;Rural
Manabí;Portoviejo;18 De Octubre;2020;Enero;2;2020/01/02;2019;Diciembre;24;2019/12/24;1965;Diciembre;29;1965/12/29;No;53;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1945;Marzo;20;1945/03/20;74;0;Mestiza;Secundaria;Si;Manabí;Portoviejo;Andrés De Vera;Urbana;Ecuatoriano;Ecuador;Mujer;1945;Abril;4;1945/04/04;74;0;Mestiza;Educación básica;Si;Manabí;Portoviejo;Colón;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Diciembre;18;2019/12/18;1973;Septiembre;18;1973/09/18;No;46;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1952;Febrero;23;1952/02/23;67;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1955;Enero;29;1955/01/29;64;0;Mestiza;Superior no Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana
Pichincha;Quito;Itchimbia;2020;Enero;2;2020/01/02;2019;Octubre;7;2019/10/07;1976;Febrero;13;1976/02/13;No;43;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1949;Junio;11;1949/06/11;70;0;Mestiza;Secundaria;Si;Exterior;Exterior;Exterior;Urbana;Extranjero;Brasil;Mujer;1946;Mayo;15;1946/05/15;73;0;Otro;Superior no Universitario;Si;Exterior;Exterior;Exterior;Urbana
Azuay;Cuenca;El Batán;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1976;Marzo;6;1976/03/06;No;43;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1953;Julio;15;1953/07/15;66;0;Mestiza;Secundaria;Si;Azuay;Cuenca;Baños;Rural;Ecuatoriano;Ecuador;Mujer;1957;Junio;8;1957/06/08;62;0;Mestiza;Primaria;Si;Azuay;Gualaceo;Gualaceo;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Septiembre;25;2019/09/25;1977;Agosto;5;1977/08/05;No;42;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1948;Diciembre;28;1948/12/28;71;0;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1939;Julio;8;1939/07/08;80;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana
Guayas;Naranjal;Naranjal;2020;Enero;2;2020/01/02;2019;Noviembre;29;2019/11/29;1977;Octubre;11;1977/10/11;No;42;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1948;Septiembre;7;1948/09/07;71;0;Mestiza;Educación básica;Si;Guayas;Naranjal;Naranjal;Urbana;Ecuatoriano;Ecuador;Mujer;1962;Marzo;21;1962/03/21;57;0;Mestiza;Educación básica;Si;Guayas;Naranjal;Naranjal;Urbana
Manabí;Jipijapa;San Lorenzo de Jipijapa;2020;Enero;2;2020/01/02;2019;Diciembre;20;2019/12/20;1978;Abril;19;1978/04/19;No;41;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1958;Febrero;13;1958/02/13;61;0;Mestiza;Primaria;Si;Manabí;Jipijapa;San Lorenzo de Jipijapa;Urbana;Ecuatoriano;Ecuador;Mujer;1951;Octubre;13;1951/10/13;68;0;Mestiza;Primaria;Si;Manabí;Jipijapa;San Lorenzo de Jipijapa;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Diciembre;16;2019/12/16;1980;Mayo;30;1980/05/30;No;39;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1958;Abril;6;1958/04/06;61;0;Montubia;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1946;Octubre;12;1946/10/12;73;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana
Manabí;Manta;Tarqui;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1980;Diciembre;30;1980/12/30;No;38;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1956;Noviembre;14;1956/11/14;63;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Manta;Manta;Urbana;Ecuatoriano;Ecuador;Mujer;1962;Octubre;15;1962/10/15;57;0;Mestiza;Educación media / Bachillerato;Si;Exterior;Exterior;Exterior;Urbana
Loja;Paltas;Catacocha;2020;Enero;2;2020/01/02;2019;Junio;7;2019/06/07;1982;Octubre;20;1982/10/20;No;36;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1958;Marzo;9;1958/03/09;61;0;Mestiza;Secundaria;Si;Loja;Paltas;Yamana;Rural;Ecuatoriano;Ecuador;Mujer;1962;Junio;10;1962/06/10;57;0;Mestiza;Primaria;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana
Los Ríos;Babahoyo;Clemente Baquerizo;2020;Enero;2;2020/01/02;2019;Octubre;24;2019/10/24;1983;Diciembre;7;1983/12/07;No;35;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1956;Diciembre;2;1956/12/02;63;0;Mestiza;Educación básica;No;Guayas;Guayaquil;Carbo (Concepción);Urbana;Ecuatoriano;Ecuador;Mujer;1961;Junio;18;1961/06/18;58;2;Mestiza;Educación básica;Si;Los Ríos;Ventanas;Ventanas;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Mayo;6;2019/05/06;1985;Septiembre;16;1985/09/16;No;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1962;Septiembre;15;1962/09/15;57;0;Mestiza;Superior no Universitario;Si;Azuay;Cuenca;El Batán;Urbana;Ecuatoriano;Ecuador;Mujer;1964;Junio;10;1964/06/10;55;0;Mestiza;Superior no Universitario;Si;Azuay;Cuenca;El Batán;Urbana
Pichincha;Quito;Itchimbia;2020;Enero;2;2020/01/02;2019;Diciembre;18;2019/12/18;1985;Octubre;4;1985/10/04;No;34;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1960;Octubre;8;1960/10/08;59;0;Mestiza;Educación básica;Si;Pichincha;Quito;San Antonio;Rural;Ecuatoriano;Ecuador;Mujer;1967;Diciembre;14;1967/12/14;52;0;Mestiza;Educación básica;Si;Pichincha;Quito;Cotocollao;Urbana
El Oro;El Guabo;El Guabo;2020;Enero;2;2020/01/02;2019;Septiembre;26;2019/09/26;1985;Noviembre;22;1985/11/22;No;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1956;Noviembre;24;1956/11/24;63;0;Mestiza;Primaria;Si;El Oro;El Guabo;El Guabo;Urbana;Ecuatoriano;Ecuador;Mujer;1964;Mayo;18;1964/05/18;55;0;Montubia;Primaria;Si;El Oro;El Guabo;El Guabo;Urbana
Pichincha;Quito;Iñaquito;2020;Enero;2;2020/01/02;2019;Diciembre;18;2019/12/18;1986;Abril;18;1986/04/18;No;33;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1969;Diciembre;25;1969/12/25;50;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana;Ecuatoriano;Ecuador;Mujer;1967;Julio;5;1967/07/05;52;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Diciembre;20;2019/12/20;1986;Agosto;17;1986/08/17;No;33;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1960;Abril;25;1960/04/25;59;0;Mestiza;Educación básica;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1963;Octubre;29;1963/10/29;56;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;La Argelia;Urbana
Pichincha;Rumiñahui;Sangolquí;2020;Enero;2;2020/01/02;2019;Noviembre;5;2019/11/05;1987;Enero;25;1987/01/25;No;32;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1963;Agosto;28;1963/08/28;56;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Rumiñahui;Sangolquí;Urbana;Ecuatoriano;Ecuador;Mujer;1963;Diciembre;21;1963/12/21;56;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Rumiñahui;Sangolquí;Urbana
Pichincha;Quito;Iñaquito;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1989;Marzo;10;1989/03/10;No;30;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1954;Marzo;28;1954/03/28;65;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana;Ecuatoriano;Ecuador;Mujer;1957;Mayo;29;1957/05/29;62;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana
Manabí;El Carmen;4 De Diciembre;2020;Enero;2;2020/01/02;2019;Diciembre;19;2019/12/19;1989;Marzo;27;1989/03/27;No;30;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1964;Agosto;29;1964/08/29;55;0;Mestiza;Educación media / Bachillerato;Si;Manabí;El Carmen;El Carmen;Urbana;Ecuatoriano;Ecuador;Mujer;1958;Enero;3;1958/01/03;61;0;Mestiza;Superior Universitario;Si;Manabí;El Carmen;El Carmen;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Noviembre;21;2019/11/21;1990;Mayo;25;1990/05/25;No;29;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1971;Septiembre;16;1971/09/16;48;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1972;Marzo;20;1972/03/20;47;1;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Noviembre;8;2019/11/08;1990;Agosto;31;1990/08/31;No;29;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1967;Noviembre;3;1967/11/03;52;0;Mestiza;Educación media / Bachillerato;Si;Azuay;Cuenca;El Batán;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Octubre;12;1969/10/12;50;0;Mestiza;Educación media / Bachillerato;Si;Azuay;Cuenca;El Vecino;Urbana
Pichincha;Quito;Iñaquito;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1990;Noviembre;30;1990/11/30;No;29;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1963;Agosto;23;1963/08/23;56;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Cotocollao;Urbana;Ecuatoriano;Ecuador;Mujer;1964;Abril;6;1964/04/06;55;1;Mestiza;Superior Universitario;Si;Pichincha;Quito;Cotocollao;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Diciembre;2;2019/12/02;1991;Marzo;11;1991/03/11;No;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1967;Junio;25;1967/06/25;52;0;Mestiza;Primaria;Si;Azuay;Cuenca;Cuenca;Urbana;Ecuatoriano;Ecuador;Mujer;1971;Febrero;9;1971/02/09;48;0;Mestiza;Primaria;Si;Azuay;Cuenca;Cuenca;Urbana
Santa Elena;Salinas;Salinas;2020;Enero;2;2020/01/02;2019;Diciembre;28;2019/12/28;1992;Agosto;8;1992/08/08;No;27;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1973;Febrero;28;1973/02/28;46;0;Mestiza;Educación media / Bachillerato;Si;Santa Elena;Santa Elena;Santa Elena;Urbana;Ecuatoriano;Ecuador;Mujer;1978;Mayo;28;1978/05/28;41;2;Mestiza;Superior no Universitario;Si;Santa Elena;Santa Elena;Santa Elena;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Diciembre;23;2019/12/23;1993;Abril;2;1993/04/02;No;26;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1969;Mayo;25;1969/05/25;50;0;Mestiza;Superior no Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Febrero;28;1969/02/28;50;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2007;Octubre;23;2007/10/23;1993;Septiembre;8;1993/09/08;No;14;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1967;Septiembre;18;1967/09/18;52;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1973;Octubre;29;1973/10/29;46;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Manabí;Manta;Tarqui;2020;Enero;2;2020/01/02;2019;Marzo;28;2019/03/28;1993;Octubre;4;1993/10/04;No;25;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1966;Septiembre;7;1966/09/07;53;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Manta;Manta;Urbana;Ecuatoriano;Ecuador;Mujer;1966;Marzo;9;1966/03/09;53;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Manta;Manta;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Septiembre;25;2019/09/25;1994;Julio;6;1994/07/06;No;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1973;Diciembre;23;1973/12/23;46;0;Blanca;Educación media / Bachillerato;Si;El Oro;Machala;Machala;Urbana;Ecuatoriano;Ecuador;Mujer;1966;Marzo;8;1966/03/08;53;0;Mestiza;Superior Universitario;Si;Azuay;Cuenca;Monay;Urbana
Azuay;Cuenca;El Batán;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1995;Abril;26;1995/04/26;No;24;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1972;Julio;14;1972/07/14;47;0;Mestiza;Educación básica;Si;Azuay;Cuenca;Cuenca;Urbana;Ecuatoriano;Ecuador;Mujer;1970;Enero;19;1970/01/19;49;0;Mestiza;Educación básica;Si;Azuay;Cuenca;Cuenca;Urbana
Tungurahua;Ambato;Huachi Chico;2020;Enero;2;2020/01/02;2019;Noviembre;26;2019/11/26;1995;Julio;18;1995/07/18;No;24;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;Ecuatoriano;Ecuador;Hombre;1973;Junio;16;1973/06/16;46;0;Mestiza;Educación básica;Si;Tungurahua;Ambato;Huachi Chico;Urbana;Ecuatoriano;Ecuador;Mujer;1974;Mayo;12;1974/05/12;45;0;Mestiza;Superior Universitario;Si;Tungurahua;Ambato;Huachi Chico;Urbana
Cañar;Azogues;Azogues;2020;Enero;2;2020/01/02;2019;Agosto;16;2019/08/16;1995;Julio;21;1995/07/21;No;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1975;Enero;20;1975/01/20;44;0;Mestiza;Primaria;Si;Cañar;Azogues;Luis Cordero;Rural;Ecuatoriano;Ecuador;Mujer;1974;Diciembre;28;1974/12/28;45;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana
Pichincha;Quito;Itchimbia;2020;Enero;2;2020/01/02;2019;Diciembre;4;2019/12/04;1995;Noviembre;24;1995/11/24;No;24;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1972;Agosto;17;1972/08/17;47;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;El Condado;Urbana;Ecuatoriano;Ecuador;Mujer;1975;Junio;3;1975/06/03;44;1;Mestiza;Superior Universitario;Si;Pichincha;Quito;El Condado;Urbana
El Oro;Machala;Machala;2020;Enero;2;2020/01/02;2019;Octubre;10;2019/10/10;1997;Enero;17;1997/01/17;No;22;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1971;Febrero;18;1971/02/18;48;0;Mestiza;Secundaria;Si;El Oro;Machala;Machala;Urbana;Ecuatoriano;Ecuador;Mujer;1970;Diciembre;7;1970/12/07;49;2;Mestiza;Secundaria;Si;El Oro;Machala;Machala;Urbana
Pichincha;Quito;Itchimbia;2020;Enero;2;2020/01/02;2019;Diciembre;4;2019/12/04;1997;Enero;24;1997/01/24;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1976;Noviembre;12;1976/11/12;43;2;Mestiza;Secundaria;Si;Pichincha;Quito;La Ecuatoriana;Urbana;Ecuatoriano;Ecuador;Mujer;1975;Septiembre;25;1975/09/25;44;2;Mestiza;Secundaria;Si;Pichincha;Quito;La Ecuatoriana;Urbana
Pichincha;Quito;Iñaquito;2020;Enero;2;2020/01/02;2019;Noviembre;26;2019/11/26;1997;Abril;2;1997/04/02;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1950;Junio;29;1950/06/29;69;2;Mestiza;Posgrado;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana;Ecuatoriano;Ecuador;Mujer;1965;Junio;29;1965/06/29;54;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Enero;2;2020/01/02;2019;Diciembre;16;2019/12/16;1997;Julio;29;1997/07/29;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1961;Julio;19;1961/07/19;58;0;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana;Ecuatoriano;Ecuador;Mujer;1975;Noviembre;29;1975/11/29;44;2;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Octubre;31;2019/10/31;1997;Agosto;29;1997/08/29;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1976;Septiembre;8;1976/09/08;43;0;Mestiza;Primaria;Si;Azuay;Cuenca;Valle;Rural;Ecuatoriano;Ecuador;Mujer;1978;Julio;30;1978/07/30;41;2;Mestiza;Educación media / Bachillerato;Si;Azuay;Cuenca;Valle;Rural
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Septiembre;24;2019/09/24;1998;Enero;8;1998/01/08;No;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1975;Octubre;11;1975/10/11;44;0;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Tarqui;Urbana;Ecuatoriano;Ecuador;Mujer;1977;Mayo;29;1977/05/29;42;3;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Tarqui;Urbana
Manabí;Portoviejo;18 De Octubre;2020;Enero;2;2020/01/02;2019;Noviembre;22;2019/11/22;1998;Enero;15;1998/01/15;No;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1976;Diciembre;1;1976/12/01;43;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Portoviejo;18 De Octubre;Urbana;Ecuatoriano;Ecuador;Mujer;1962;Enero;15;1962/01/15;57;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Portoviejo;18 De Octubre;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Enero;2;2020/01/02;2019;Diciembre;26;2019/12/26;1998;Noviembre;12;1998/11/12;No;21;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1975;Octubre;2;1975/10/02;44;0;Mestiza;Educación básica;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana;Ecuatoriano;Ecuador;Mujer;1977;Septiembre;25;1977/09/25;42;1;Mestiza;Educación básica;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Agosto;7;2019/08/07;1999;Abril;23;1999/04/23;No;20;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1966;Junio;1;1966/06/01;53;1;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1971;Noviembre;25;1971/11/25;48;1;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana
Cañar;Azogues;Azogues;2020;Enero;2;2020/01/02;2019;Noviembre;28;2019/11/28;2000;Mayo;11;2000/05/11;No;19;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1976;Junio;21;1976/06/21;43;0;Mestiza;Secundaria;Si;Cañar;Biblian;Biblian;Urbana;Ecuatoriano;Ecuador;Mujer;1980;Noviembre;12;1980/11/12;39;2;Mestiza;Secundaria;Si;Cañar;Biblian;Biblian;Urbana
Pichincha;Pedro Moncayo;Tabacundo;2020;Enero;2;2020/01/02;2019;Noviembre;21;2019/11/21;2000;Noviembre;11;2000/11/11;No;19;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1964;Septiembre;1;1964/09/01;55;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Pedro Moncayo;Tabacundo;Urbana;Ecuatoriano;Ecuador;Mujer;1963;Febrero;14;1963/02/14;56;1;Mestiza;Superior no Universitario;Si;Pichincha;Pedro Moncayo;Tabacundo;Urbana
Manabí;Montecristi;Montecristi;2020;Enero;2;2020/01/02;2019;Diciembre;16;2019/12/16;2000;Noviembre;29;2000/11/29;No;19;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;Ecuatoriano;Ecuador;Hombre;1953;Abril;7;1953/04/07;66;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Manta;Tarqui;Urbana;Ecuatoriano;Ecuador;Mujer;1961;Junio;14;1961/06/14;58;0;Mestiza;Superior no Universitario;Si;Guayas;Guayaquil;Febres Cordero;Urbana
Manabí;Manta;Tarqui;2020;Enero;2;2020/01/02;2018;Julio;12;2018/07/12;2001;Octubre;19;2001/10/19;No;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1981;Abril;24;1981/04/24;38;0;Mestiza;Educación básica;Si;Manabí;Manta;Manta;Urbana;Ecuatoriano;Ecuador;Mujer;1979;Agosto;27;1979/08/27;40;3;Mestiza;Educación básica;Si;Manabí;Manta;Manta;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Agosto;14;2019/08/14;2001;Noviembre;30;2001/11/30;No;17;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1979;Junio;17;1979/06/17;40;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1977;Noviembre;5;1977/11/05;42;2;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Cañar;Azogues;Azogues;2020;Enero;2;2020/01/02;2019;Octubre;25;2019/10/25;2002;Mayo;18;2002/05/18;No;17;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1981;Diciembre;1;1981/12/01;38;0;Mestiza;Primaria;Si;Cañar;Azogues;Azogues;Urbana;Ecuatoriano;Ecuador;Mujer;1983;Enero;2;1983/01/02;37;2;Mestiza;Primaria;Si;Cañar;Azogues;Azogues;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Junio;3;2019/06/03;2002;Julio;5;2002/07/05;No;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1978;Marzo;30;1978/03/30;41;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1976;Agosto;21;1976/08/21;43;2;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Noviembre;8;2019/11/08;2002;Octubre;25;2002/10/25;No;17;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1979;Marzo;12;1979/03/12;40;2;Mestiza;Educación básica;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1985;Agosto;1;1985/08/01;34;2;Mestiza;Educación básica;Si;Pichincha;Quito;Quitumbe;Urbana
Azuay;Cuenca;San Blas;2020;Enero;2;2020/01/02;2019;Septiembre;23;2019/09/23;2003;Septiembre;10;2003/09/10;No;16;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1979;Junio;24;1979/06/24;40;0;Mestiza;Secundaria;Si;Azuay;Gualaceo;Zhidmad;Rural;Ecuatoriano;Ecuador;Mujer;1985;Agosto;25;1985/08/25;34;3;Mestiza;Secundaria;Si;Azuay;Gualaceo;Jadan;Rural
